edge,length
supertype:0023 L4/5 IT CTX Glut_1,0.14076023056124987
supertype:0024 L4/5 IT CTX Glut_2,0.14105635894594726
supertype:0025 L4/5 IT CTX Glut_3,0.0
supertype:0026 L4/5 IT CTX Glut_4,0.03215551604351837
supertype:0027 L4/5 IT CTX Glut_5,0.13120947361975796
supertype:0029 L2/3 IT CTX Glut_1,0.07625277877368643
supertype:0089 L5 ET CTX Glut_1,0.06308899319067779
supertype:0090 L5 ET CTX Glut_2,0.0
supertype:0093 L5 ET CTX Glut_5,0.08936292532757746
supertype:0110 L6 CT CTX Glut_1,0.10858553869024716
supertype:0111 L6 CT CTX Glut_2,0.05501862364188767
supertype:0114 L6 CT CTX Glut_5,0.02969638079962431
supertype:0119 L5 NP CTX Glut_2,0.03085925199653119
supertype:0135 Vip Gaba_3,0.06113329428681794
supertype:0137 Vip Gaba_5,0.07601876039590175
supertype:0148 Lamp5 Gaba_1,0.1884949660245685
supertype:0156 Pvalb Gaba_3,0.08390025111166342
supertype:0157 Pvalb Gaba_4,0.0625595233894821
supertype:0162 Sst Gaba_4,0.0826296967927087
supertype:0163 Sst Gaba_5,0.09226239342793843
supertype:1025 COP NN,0.11140841561673887
