"row","col","value"
"0731 Sst Chodl Gaba_4","001 Car3 Glut",0
"5113 Astro-TE NN_3","001 Car3 Glut",0
"5146 OPC NN_1","001 Car3 Glut",0
"5150 COP NN","001 Car3 Glut",0
"5152 COP NN","001 Car3 Glut",0
"5155 MFOL NN","001 Car3 Glut",0
"5158 MOL NN","001 Car3 Glut",0
"5182 Peri NN","001 Car3 Glut",0
"5188 Endo NN","001 Car3 Glut",0
"5190 Microglia NN","001 Car3 Glut",0
"0004 Car3 Glut_1","003 L5/6 IT TPE-ENT Glut",0
"0026 L5/6 IT TPE-ENT Glut_2","003 L5/6 IT TPE-ENT Glut",1
"0029 L5/6 IT TPE-ENT Glut_3","003 L5/6 IT TPE-ENT Glut",0.941176470588235
"0034 L6 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0.816666666666667
"0035 L6 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0.295081967213115
"0036 L6 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0.254901960784314
"0037 L6 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0.769230769230769
"0038 L6 IT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0041 L6 IT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0.103333333333333
"0042 L6 IT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0044 L6 IT CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0.357723577235772
"0049 L6 IT CTX Glut_4","003 L5/6 IT TPE-ENT Glut",0.84375
"0053 L6 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0.132743362831858
"0054 L6 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0.781609195402299
"0055 L5 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0
"0056 L5 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0.102272727272727
"0061 L5 IT CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0.106666666666667
"0065 L5 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0.986666666666667
"0069 L4/5 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0.0238095238095238
"0072 L4/5 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0
"0075 L4/5 IT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0076 L4/5 IT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0078 L4/5 IT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0083 L4/5 IT CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0.992424242424242
"0084 L4/5 IT CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0.13
"0090 L4/5 IT CTX Glut_4","003 L5/6 IT TPE-ENT Glut",0.246753246753247
"0091 L4/5 IT CTX Glut_4","003 L5/6 IT TPE-ENT Glut",0.483333333333333
"0094 L4/5 IT CTX Glut_4","003 L5/6 IT TPE-ENT Glut",0.00943396226415094
"0096 L4/5 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0
"0098 L4/5 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0
"0099 L4/5 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0.00584795321637427
"0104 L2/3 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0.0062111801242236
"0105 L2/3 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0.0054945054945055
"0106 L2/3 IT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0.00666666666666667
"0109 L2/3 IT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0351 L5 ET CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0
"0352 L5 ET CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0
"0361 L5 ET CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0362 L5 ET CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0.0222222222222222
"0377 L5 ET CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0
