"query","split_at","child","vote","child_auroc","is_best","is_second","auc_gap","sib_lo","par_lo","margin_pass","override","decision","true_path","case"
"004 L6 IT CTX Glut","class:01 IT-ET Glut","subclass:005 L5 IT CTX Glut",0.0286821705426357,0.872075559814673,FALSE,TRUE,0.0992400419599948,NA,NA,FALSE,TRUE,"descend",FALSE,"correct family-level stop"
"004 L6 IT CTX Glut","class:01 IT-ET Glut","subclass:006 L4/5 IT CTX Glut",0.0158914728682171,0.617450383340434,FALSE,FALSE,0.0992400419599948,NA,NA,FALSE,TRUE,"descend",FALSE,"correct family-level stop"
"004 L6 IT CTX Glut","class:01 IT-ET Glut","subclass:007 L2/3 IT CTX Glut",0.00116279069767442,0.77852390562104,FALSE,FALSE,0.0992400419599948,NA,NA,FALSE,TRUE,"descend",FALSE,"correct family-level stop"
"004 L6 IT CTX Glut","class:01 IT-ET Glut","subclass:022 L5 ET CTX Glut",0,0.53618652745241,FALSE,FALSE,0.0992400419599948,NA,NA,FALSE,TRUE,"descend",FALSE,"correct family-level stop"
"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut","supertype:0013 L6 IT CTX Glut_1",0.484108527131783,0.92948674190665,TRUE,FALSE,-0.0356733449411515,-0.0394382535086997,NA,FALSE,FALSE,"stop",FALSE,"correct family-level stop"
"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut","supertype:0014 L6 IT CTX Glut_2",0.281782945736434,0.965160086847801,FALSE,TRUE,-0.0356733449411515,-0.0394382535086997,NA,FALSE,FALSE,"stop",FALSE,"correct family-level stop"
"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut","supertype:0015 L6 IT CTX Glut_3",0.0852713178294574,0.826564648744164,FALSE,FALSE,-0.0356733449411515,-0.0394382535086997,NA,FALSE,FALSE,"stop",FALSE,"correct family-level stop"
"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut","supertype:0016 L6 IT CTX Glut_4",0.0608527131782946,0.924397123425158,FALSE,FALSE,-0.0356733449411515,-0.0394382535086997,NA,FALSE,FALSE,"stop",FALSE,"correct family-level stop"
"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut","supertype:0017 L6 IT CTX Glut_5",0.0155038759689922,0.94516825568069,FALSE,FALSE,-0.0356733449411515,-0.0394382535086997,NA,FALSE,FALSE,"stop",FALSE,"correct family-level stop"
"0034 L6 IT CTX Glut_1","root","001 Car3 Glut",0,0.548181460148673,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","003 L5/6 IT TPE-ENT Glut",0.816666666666667,0.94946881307537,TRUE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","004 L6 IT CTX Glut",0.183333333333333,0.953101462117856,FALSE,TRUE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",TRUE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","005 L5 IT CTX Glut",0,0.62202505784473,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","006 L4/5 IT CTX Glut",0,0.526026928567912,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","007 L2/3 IT CTX Glut",0,0.859944124452321,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","022 L5 ET CTX Glut",0,0.709331954905725,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","027 L6b CTX Glut",0,0.664314232265052,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","028 L6 CT CTX Glut",0,0.706164771328706,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","030 L5 NP CTX Glut",0,0.311883522867129,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","036 Vip Gaba",0,0.512759070545956,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","037 Sncg Gaba",0,0.593814183035494,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
