"row","col","value"
"030 L5 NP CTX Glut","0034 L6 IT CTX Glut_1",0
"036 Vip Gaba","0034 L6 IT CTX Glut_1",0
"037 Sncg Gaba","0034 L6 IT CTX Glut_1",0
"039 Lamp5 Gaba","0034 L6 IT CTX Glut_1",0
"041 Pvalb chandelier Gaba","0034 L6 IT CTX Glut_1",0
"042 Pvalb Gaba","0034 L6 IT CTX Glut_1",0
"043 Sst Gaba","0034 L6 IT CTX Glut_1",0
"046 Sst Chodl Gaba","0034 L6 IT CTX Glut_1",0
"287 Astro-TE NN","0034 L6 IT CTX Glut_1",0
"294 OPC NN","0034 L6 IT CTX Glut_1",0
"295 Oligo NN","0034 L6 IT CTX Glut_1",0
"299 Peri NN","0034 L6 IT CTX Glut_1",0
"301 Endo NN","0034 L6 IT CTX Glut_1",0
"302 Microglia NN","0034 L6 IT CTX Glut_1",0
"001 Car3 Glut","0035 L6 IT CTX Glut_1",0
"003 L5/6 IT TPE-ENT Glut","0035 L6 IT CTX Glut_1",0.00205761316872428
"004 L6 IT CTX Glut","0035 L6 IT CTX Glut_1",0.212790697674419
"005 L5 IT CTX Glut","0035 L6 IT CTX Glut_1",0.00122850122850123
"006 L4/5 IT CTX Glut","0035 L6 IT CTX Glut_1",0.000263365815117198
"007 L2/3 IT CTX Glut","0035 L6 IT CTX Glut_1",0
"022 L5 ET CTX Glut","0035 L6 IT CTX Glut_1",0
"027 L6b CTX Glut","0035 L6 IT CTX Glut_1",0.00183823529411765
"028 L6 CT CTX Glut","0035 L6 IT CTX Glut_1",0.000499001996007984
"030 L5 NP CTX Glut","0035 L6 IT CTX Glut_1",0
"036 Vip Gaba","0035 L6 IT CTX Glut_1",0
"037 Sncg Gaba","0035 L6 IT CTX Glut_1",0
"039 Lamp5 Gaba","0035 L6 IT CTX Glut_1",0
"041 Pvalb chandelier Gaba","0035 L6 IT CTX Glut_1",0
"042 Pvalb Gaba","0035 L6 IT CTX Glut_1",0
"043 Sst Gaba","0035 L6 IT CTX Glut_1",0
"046 Sst Chodl Gaba","0035 L6 IT CTX Glut_1",0
"287 Astro-TE NN","0035 L6 IT CTX Glut_1",0
"294 OPC NN","0035 L6 IT CTX Glut_1",0
"295 Oligo NN","0035 L6 IT CTX Glut_1",0
"299 Peri NN","0035 L6 IT CTX Glut_1",0
"301 Endo NN","0035 L6 IT CTX Glut_1",0
"302 Microglia NN","0035 L6 IT CTX Glut_1",0
"001 Car3 Glut","0036 L6 IT CTX Glut_1",0
"003 L5/6 IT TPE-ENT Glut","0036 L6 IT CTX Glut_1",0.0246913580246914
"004 L6 IT CTX Glut","0036 L6 IT CTX Glut_1",0.172868217054264
"005 L5 IT CTX Glut","0036 L6 IT CTX Glut_1",0.00491400491400491
"006 L4/5 IT CTX Glut","0036 L6 IT CTX Glut_1",0
"007 L2/3 IT CTX Glut","0036 L6 IT CTX Glut_1",0.00445235975066785
"022 L5 ET CTX Glut","0036 L6 IT CTX Glut_1",0
"027 L6b CTX Glut","0036 L6 IT CTX Glut_1",0
"028 L6 CT CTX Glut","0036 L6 IT CTX Glut_1",0
"030 L5 NP CTX Glut","0036 L6 IT CTX Glut_1",0
"036 Vip Gaba","0036 L6 IT CTX Glut_1",0
"037 Sncg Gaba","0036 L6 IT CTX Glut_1",0
"039 Lamp5 Gaba","0036 L6 IT CTX Glut_1",0
"041 Pvalb chandelier Gaba","0036 L6 IT CTX Glut_1",0
"042 Pvalb Gaba","0036 L6 IT CTX Glut_1",0
"043 Sst Gaba","0036 L6 IT CTX Glut_1",0
"046 Sst Chodl Gaba","0036 L6 IT CTX Glut_1",0
"287 Astro-TE NN","0036 L6 IT CTX Glut_1",0
"294 OPC NN","0036 L6 IT CTX Glut_1",0
"295 Oligo NN","0036 L6 IT CTX Glut_1",0
"299 Peri NN","0036 L6 IT CTX Glut_1",0
"301 Endo NN","0036 L6 IT CTX Glut_1",0
"302 Microglia NN","0036 L6 IT CTX Glut_1",0
"001 Car3 Glut","0037 L6 IT CTX Glut_1",0
"003 L5/6 IT TPE-ENT Glut","0037 L6 IT CTX Glut_1",0.0740740740740741
"004 L6 IT CTX Glut","0037 L6 IT CTX Glut_1",0.0577519379844961
"005 L5 IT CTX Glut","0037 L6 IT CTX Glut_1",0.0368550368550369
"006 L4/5 IT CTX Glut","0037 L6 IT CTX Glut_1",0
"007 L2/3 IT CTX Glut","0037 L6 IT CTX Glut_1",0.000890471950133571
"022 L5 ET CTX Glut","0037 L6 IT CTX Glut_1",0.000618811881188119
"027 L6b CTX Glut","0037 L6 IT CTX Glut_1",0
"028 L6 CT CTX Glut","0037 L6 IT CTX Glut_1",0.000499001996007984
"030 L5 NP CTX Glut","0037 L6 IT CTX Glut_1",0
"036 Vip Gaba","0037 L6 IT CTX Glut_1",0
"037 Sncg Gaba","0037 L6 IT CTX Glut_1",0
"039 Lamp5 Gaba","0037 L6 IT CTX Glut_1",0
"041 Pvalb chandelier Gaba","0037 L6 IT CTX Glut_1",0
"042 Pvalb Gaba","0037 L6 IT CTX Glut_1",0
"043 Sst Gaba","0037 L6 IT CTX Glut_1",0
"046 Sst Chodl Gaba","0037 L6 IT CTX Glut_1",0
