theta,D,false_veto,missed_veto,ok
0.02,1,1.0,0.0,False
0.02,2,0.667,0.667,False
0.05,1,1.0,0.0,False
0.05,2,0.5,0.667,False
0.08,1,0.833,0.0,False
0.08,2,0.333,0.667,False
0.1,1,0.667,0.111,False
0.1,2,0.333,0.667,False
0.15,1,0.667,0.222,False
0.15,2,0.333,0.667,False
