theta,D,false_veto,missed_veto,ok
0.02,1,0.833,0.167,False
0.02,2,0.333,0.778,False
0.05,1,0.833,0.167,False
0.05,2,0.25,0.778,False
0.08,1,0.75,0.222,False
0.08,2,0.167,0.944,False
0.1,1,0.667,0.278,False
0.1,2,0.083,1.0,False
0.15,1,0.583,0.611,False
0.15,2,0.0,1.0,False
