seed,minority,batch_sd,imbalance,small,m_d,null_m,excess,local_descend
0,0.0,0.5,False,False,"[0.1833, 0.05]",0.3111,"[-0.1278, -0.2611]",True
0,0.0,1.0,True,False,"[0.3667, 0.1167]",0.15,"[0.2167, -0.0333]",True
0,0.05,0.5,False,False,"[0.1905, 0.0635]",0.3278,"[-0.1373, -0.2643]",True
0,0.05,1.0,True,False,"[0.3492, 0.127]",0.15,"[0.1992, -0.023]",True
0,0.1,0.5,False,False,"[0.2239, 0.0597]",0.3111,"[-0.0872, -0.2514]",True
0,0.1,1.0,True,False,"[0.4328, 0.1343]",0.1444,"[0.2884, -0.0101]",True
0,0.2,0.5,False,False,"[0.28, 0.1067]",0.3222,"[-0.0422, -0.2156]",True
0,0.2,1.0,True,False,"[0.4133, 0.1333]",0.15,"[0.2633, -0.0167]",True
0,0.3,0.5,False,False,"[0.2907, 0.1744]",0.3222,"[-0.0315, -0.1478]",True
0,0.3,1.0,True,False,"[0.3953, 0.1279]",0.1667,"[0.2287, -0.0388]",True
0,0.5,0.5,False,False,"[0.375, 0.2167]",0.3056,"[0.0694, -0.0889]",True
0,0.5,1.0,True,False,"[0.3333, 0.1833]",0.1333,"[0.2, 0.05]",True
1,0.0,0.5,True,False,"[0.2833, 0.3833]",0.1944,"[0.0889, 0.1889]",False
1,0.0,1.0,False,False,"[0.1333, 0.35]",0.25,"[-0.1167, 0.1]",True
1,0.05,0.5,True,False,"[0.2698, 0.3651]",0.2,"[0.0698, 0.1651]",False
1,0.05,1.0,False,False,"[0.1429, 0.4127]",0.2389,"[-0.096, 0.1738]",True
1,0.1,0.5,True,False,"[0.2687, 0.3433]",0.2,"[0.0687, 0.1433]",False
1,0.1,1.0,False,False,"[0.1642, 0.4179]",0.25,"[-0.0858, 0.1679]",True
1,0.2,0.5,True,False,"[0.36, 0.3067]",0.2111,"[0.1489, 0.0956]",False
1,0.2,1.0,False,False,"[0.1333, 0.4533]",0.2389,"[-0.1056, 0.2144]",True
1,0.3,0.5,True,False,"[0.3837, 0.2674]",0.1944,"[0.1893, 0.073]",False
1,0.3,1.0,False,False,"[0.1744, 0.407]",0.2389,"[-0.0645, 0.1681]",True
1,0.5,0.5,True,False,"[0.3583, 0.2167]",0.2167,"[0.1417, 0.0]",False
1,0.5,1.0,False,False,"[0.2417, 0.3417]",0.2389,"[0.0028, 0.1028]",False
2,0.0,0.5,False,True,"[0.3333, 0.2083]",0.2444,"[0.0889, -0.0361]",False
2,0.0,1.0,True,True,"[0.4167, 0.2917]",0.1778,"[0.2389, 0.1139]",True
2,0.05,0.5,False,True,"[0.32, 0.24]",0.2444,"[0.0756, -0.0044]",False
2,0.05,1.0,True,True,"[0.44, 0.24]",0.2,"[0.24, 0.04]",True
2,0.1,0.5,False,True,"[0.3704, 0.1852]",0.2556,"[0.1148, -0.0704]",False
2,0.1,1.0,True,True,"[0.3704, 0.2963]",0.2,"[0.1704, 0.0963]",True
2,0.2,0.5,False,True,"[0.4, 0.1667]",0.2611,"[0.1389, -0.0944]",False
2,0.2,1.0,True,True,"[0.4333, 0.2667]",0.1944,"[0.2389, 0.0722]",True
2,0.3,0.5,False,True,"[0.3235, 0.1471]",0.2389,"[0.0846, -0.0918]",False
2,0.3,1.0,True,True,"[0.3235, 0.1765]",0.1778,"[0.1458, -0.0013]",True
2,0.5,0.5,False,True,"[0.25, 0.1042]",0.25,"[0.0, -0.1458]",False
2,0.5,1.0,True,True,"[0.3125, 0.1875]",0.1944,"[0.1181, -0.0069]",True
