cluster,curated_subclass,MetaArbor/primary,MetaArbor/seed977,OTHarmonizer/default,OTHarmonizer/v2_first,OTHarmonizer/v3_first,OTHarmonizer/v2f_r0,OTHarmonizer/v2f_r1,OTHarmonizer/v2f_r2,OTHarmonizer/v2f_r3,OTHarmonizer/v2f_r4,OTHarmonizer/v3f_r0,OTHarmonizer/v3f_r1,OTHarmonizer/v3f_r2,OTHarmonizer/v3f_r3,OTHarmonizer/v3f_r4
0527 Vip Gaba_5,036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,root:,exact:036 Vip Gaba,exact:036 Vip Gaba,root:,exact:036 Vip Gaba
0529 Vip Gaba_5,036 Vip Gaba,exact:036 Vip Gaba,exact:036 Vip Gaba,root:,root:,root:,root:,root:,root:,root:,root:,exact:036 Vip Gaba,root:,root:,root:,exact:036 Vip Gaba
0533 Vip Gaba_6,036 Vip Gaba,consistent_coarse:036 Vip Gaba|037 Sncg Gaba,exact:036 Vip Gaba,root:,root:,root:,root:,root:,root:,exact:036 Vip Gaba,root:,root:,root:,root:,root:,exact:036 Vip Gaba
0547 Sncg Gaba_6,037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,root:,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,root:,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba
0553 Sncg Gaba_3,037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,root:,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba
0560 Sncg Gaba_4,037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,root:,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,root:,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba,exact:037 Sncg Gaba
0580 Lamp5 Gaba_1,039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,root:,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,root:,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba
0581 Lamp5 Gaba_1,039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,root:,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,root:,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba
0582 Lamp5 Gaba_1,039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,root:,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,root:,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba
0587 Lamp5 Gaba_2,039 Lamp5 Gaba,wrong_lineage:036 Vip Gaba|037 Sncg Gaba,wrong_lineage:036 Vip Gaba,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,root:,exact:039 Lamp5 Gaba,exact:039 Lamp5 Gaba,root:,root:,exact:039 Lamp5 Gaba,root:,exact:039 Lamp5 Gaba,root:,root:,root:
0605 Pvalb chandelier Gaba,041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba,exact:041 Pvalb chandelier Gaba
0607 Pvalb Gaba_1,042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,root:,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba
0618 Pvalb Gaba_3,042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba
0619 Pvalb Gaba_3,042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba
0620 Pvalb Gaba_8,042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,root:,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba
0621 Pvalb Gaba_3,042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba
0624 Pvalb Gaba_4,042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,wrong_lineage:043 Sst Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,wrong_lineage:043 Sst Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,root:
0625 Pvalb Gaba_5,042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,root:,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,root:,root:,exact:042 Pvalb Gaba
0628 Pvalb Gaba_4,042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba,exact:042 Pvalb Gaba
0631 Sst Gaba_13,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:
0638 Sst Gaba_1,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,exact:043 Sst Gaba
0641 Sst Gaba_12,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,root:,root:,root:,root:,root:,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,root:
0664 Sst Gaba_4,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,root:,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba
0665 Sst Gaba_11,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,root:,root:,root:,exact:043 Sst Gaba,root:,root:,root:
0666 Sst Gaba_4,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba
