"query","selected","auroc","compactness","relation","correct"
"0522 Vip Gaba_4","036 Vip Gaba",0.969570603157904,0.965116279069767,"leaf",TRUE
"0527 Vip Gaba_5","036 Vip Gaba",0.991968519440176,0.992537313432836,"leaf",TRUE
"0529 Vip Gaba_5","036 Vip Gaba",0.983455555867149,0.987179487179487,"leaf",TRUE
"0533 Vip Gaba_6",NA,NA,NA,"discordant",FALSE
"0547 Sncg Gaba_6","037 Sncg Gaba",0.995823675641609,1,"leaf",TRUE
"0553 Sncg Gaba_3","037 Sncg Gaba",0.989092492838441,1,"leaf",TRUE
"0560 Sncg Gaba_4","037 Sncg Gaba",0.996066971672839,1,"leaf",TRUE
"0580 Lamp5 Gaba_1","039 Lamp5 Gaba",0.995958103975535,1,"leaf",TRUE
"0581 Lamp5 Gaba_1","039 Lamp5 Gaba",0.977325993883792,1,"leaf",TRUE
"0582 Lamp5 Gaba_1","039 Lamp5 Gaba",0.985431498470948,1,"leaf",TRUE
"0587 Lamp5 Gaba_2",NA,NA,NA,"discordant",FALSE
"0605 Pvalb chandelier Gaba","041 Pvalb chandelier Gaba",1,1,"leaf",TRUE
"0607 Pvalb Gaba_1","042 Pvalb Gaba",0.963178989168032,0.984375,"leaf",TRUE
"0618 Pvalb Gaba_3","042 Pvalb Gaba",0.971360627857495,1,"leaf",TRUE
"0619 Pvalb Gaba_3","042 Pvalb Gaba",0.985513149847095,0.993333333333333,"leaf",TRUE
"0620 Pvalb Gaba_8","042 Pvalb Gaba",0.988061773700306,0.98,"leaf",TRUE
"0621 Pvalb Gaba_3","042 Pvalb Gaba",0.968033884401717,0.982456140350877,"leaf",TRUE
"0624 Pvalb Gaba_4","042 Pvalb Gaba",0.951065203040142,1,"leaf",TRUE
"0625 Pvalb Gaba_5","042 Pvalb Gaba",0.954891148298939,0.972972972972973,"leaf",TRUE
"0628 Pvalb Gaba_4","042 Pvalb Gaba",0.971224120555163,1,"leaf",TRUE
"0631 Sst Gaba_13","043 Sst Gaba",0.967010022378726,1,"leaf",TRUE
"0638 Sst Gaba_1","043 Sst Gaba",0.908284546959608,0.951807228915663,"leaf",TRUE
"0641 Sst Gaba_12","043 Sst Gaba",0.912017830050617,1,"leaf",TRUE
"0664 Sst Gaba_4","043 Sst Gaba",0.991630276564774,1,"leaf",TRUE
"0665 Sst Gaba_11","043 Sst Gaba",0.967583918813427,0.985714285714286,"leaf",TRUE
"0666 Sst Gaba_4","043 Sst Gaba",0.962325382262997,0.993333333333333,"leaf",TRUE
"0668 Sst Gaba_4","043 Sst Gaba",0.97398920033295,1,"leaf",TRUE
"0669 Sst Gaba_4","043 Sst Gaba",0.983346177370031,0.993333333333333,"leaf",TRUE
"0673 Sst Gaba_16","043 Sst Gaba",0.94222438668588,1,"leaf",TRUE
"0675 Sst Gaba_5",NA,NA,NA,"discordant",FALSE
"0677 Sst Gaba_5","043 Sst Gaba",0.92872492354122,1,"leaf",TRUE
"0688 Sst Gaba_7","043 Sst Gaba",0.933678944974989,1,"leaf",TRUE
"0695 Sst Gaba_10","043 Sst Gaba",0.935672065965736,0.98780487804878,"leaf",TRUE
"0697 Sst Gaba_8","043 Sst Gaba",0.913353039933803,0.951456310679612,"leaf",TRUE
"0731 Sst Chodl Gaba_4","046 Sst Chodl Gaba",1,1,"leaf",TRUE
"5113 Astro-TE NN_3","287 Astro-TE NN",1,1,"leaf",TRUE
"5146 OPC NN_1","294 OPC NN",1,1,"leaf",TRUE
"5150 COP NN",NA,NA,NA,"discordant",FALSE
"5152 COP NN","295 Oligo NN",0.990605722938137,1,"leaf",TRUE
"5155 MFOL NN","295 Oligo NN",0.999406165004533,1,"leaf",TRUE
"5158 MOL NN","295 Oligo NN",0.997921461187215,1,"leaf",TRUE
"5182 Peri NN","299 Peri NN",0.999978411892457,1,"leaf",TRUE
"5188 Endo NN","301 Endo NN",0.999958181818182,0.96,"leaf",TRUE
"5190 Microglia NN","302 Microglia NN",0.999969694214626,1,"leaf",TRUE
