"query","selected","auroc","compactness","relation","correct"
"0522 Vip Gaba_4","036 Vip Gaba",0.978368887551285,0.983606557377049,"leaf",TRUE
"0527 Vip Gaba_5","036 Vip Gaba",0.9969507220317,1,"leaf",TRUE
"0529 Vip Gaba_5","036 Vip Gaba",0.985568750535748,0.981818181818182,"leaf",TRUE
"0533 Vip Gaba_6",NA,NA,NA,"discordant",FALSE
"0547 Sncg Gaba_6","037 Sncg Gaba",0.997676112187162,1,"leaf",TRUE
"0553 Sncg Gaba_3","037 Sncg Gaba",0.995582528510153,1,"leaf",TRUE
"0560 Sncg Gaba_4","037 Sncg Gaba",0.998678110966247,1,"leaf",TRUE
"0580 Lamp5 Gaba_1","039 Lamp5 Gaba",0.997483608919274,1,"leaf",TRUE
"0581 Lamp5 Gaba_1","039 Lamp5 Gaba",0.981262180190439,1,"leaf",TRUE
"0582 Lamp5 Gaba_1","039 Lamp5 Gaba",0.990834794939732,1,"leaf",TRUE
"0587 Lamp5 Gaba_2",NA,NA,NA,"discordant",FALSE
"0605 Pvalb chandelier Gaba","041 Pvalb chandelier Gaba",1,1,"leaf",TRUE
"0607 Pvalb Gaba_1","042 Pvalb Gaba",0.96415859472362,1,"leaf",TRUE
"0618 Pvalb Gaba_3","042 Pvalb Gaba",0.965439805940751,1,"leaf",TRUE
"0619 Pvalb Gaba_3","042 Pvalb Gaba",0.987541820242089,1,"leaf",TRUE
"0620 Pvalb Gaba_8","042 Pvalb Gaba",0.992137588307377,1,"leaf",TRUE
"0621 Pvalb Gaba_3","042 Pvalb Gaba",0.966083532695375,0.991228070175439,"leaf",TRUE
"0624 Pvalb Gaba_4","042 Pvalb Gaba",0.945947230267922,1,"leaf",TRUE
"0625 Pvalb Gaba_5","042 Pvalb Gaba",0.955633270908131,1,"leaf",TRUE
"0628 Pvalb Gaba_4","042 Pvalb Gaba",0.965966576126586,0.9921875,"leaf",TRUE
"0631 Sst Gaba_13","043 Sst Gaba",0.982733696998519,1,"leaf",TRUE
"0638 Sst Gaba_1","043 Sst Gaba",0.947306472271699,0.879310344827586,"leaf",TRUE
"0641 Sst Gaba_12","043 Sst Gaba",0.94851966873706,0.952380952380952,"leaf",TRUE
"0664 Sst Gaba_4","043 Sst Gaba",0.996645003342111,1,"leaf",TRUE
"0665 Sst Gaba_11","043 Sst Gaba",0.982237492331811,1,"leaf",TRUE
"0666 Sst Gaba_4","043 Sst Gaba",0.978479051383399,1,"leaf",TRUE
"0668 Sst Gaba_4","043 Sst Gaba",0.981721659265506,1,"leaf",TRUE
"0669 Sst Gaba_4","043 Sst Gaba",0.99276035776704,1,"leaf",TRUE
"0673 Sst Gaba_16","043 Sst Gaba",0.967324497857219,1,"leaf",TRUE
"0675 Sst Gaba_5",NA,NA,NA,"discordant",FALSE
