"alpha","query","node","share","own_mass","correct"
0.7,"046 Sst Chodl Gaba","subclass:043 Sst Gaba",1,2.91126186248707e-122,FALSE
0.7,"287 Astro-TE NN","root",0.46486917597253,0.421449643006472,FALSE
0.7,"294 OPC NN","root",0.7119469033693,1.42846831927e-158,FALSE
0.7,"295 Oligo NN","subclass:295 Oligo NN",1,1,TRUE
0.7,"299 Peri NN","root",0.57567543278578,0.424324567214219,FALSE
0.7,"301 Endo NN","root",0.573928039069429,0.426071960930571,FALSE
0.7,"302 Microglia NN","root",0.421890237422078,0.421890237422078,FALSE
0.9,"001 Car3 Glut","class:01 IT-ET Glut",1,0.253063732866518,FALSE
0.9,"003 L5/6 IT TPE-ENT Glut","class:01 IT-ET Glut",1,0.327907726546546,FALSE
0.9,"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut",1,1,TRUE
0.9,"005 L5 IT CTX Glut","class:01 IT-ET Glut",1,0.419450460703324,FALSE
0.9,"006 L4/5 IT CTX Glut","subclass:006 L4/5 IT CTX Glut",1,1,TRUE
0.9,"007 L2/3 IT CTX Glut","class:01 IT-ET Glut",1,0.827561092765124,FALSE
0.9,"022 L5 ET CTX Glut","subclass:022 L5 ET CTX Glut",1,1,TRUE
0.9,"027 L6b CTX Glut","class:02 NP-CT-L6b Glut",1,0.465969714031686,FALSE
0.9,"028 L6 CT CTX Glut","subclass:028 L6 CT CTX Glut",1,1,TRUE
0.9,"030 L5 NP CTX Glut","subclass:030 L5 NP CTX Glut",1,1,TRUE
0.9,"036 Vip Gaba","subclass:036 Vip Gaba",1,1,TRUE
0.9,"037 Sncg Gaba","class:04 CGE GABA",1,0.622995114399705,FALSE
0.9,"039 Lamp5 Gaba","subclass:039 Lamp5 Gaba",1,1,TRUE
0.9,"041 Pvalb chandelier Gaba","class:05 MGE GABA",1,0.261735160102577,FALSE
0.9,"042 Pvalb Gaba","subclass:042 Pvalb Gaba",0.909480647921369,0.909480647921369,TRUE
0.9,"043 Sst Gaba","subclass:043 Sst Gaba",1,1,TRUE
0.9,"046 Sst Chodl Gaba","root",0.811938582654736,0.188061417345264,FALSE
0.9,"287 Astro-TE NN","root",0.790131594508183,0.790131594508183,FALSE
0.9,"294 OPC NN","class:29 Oligo",1,0.346808423573284,FALSE
0.9,"295 Oligo NN","subclass:295 Oligo NN",1,1,TRUE
0.9,"299 Peri NN","subclass:299 Peri NN",1,1,TRUE
0.9,"301 Endo NN","subclass:301 Endo NN",0.94321511754888,0.94321511754888,TRUE
0.9,"302 Microglia NN","root",0.805469810755158,0.805469810755158,FALSE
