"query","selected","auroc","compactness","relation","correct"
"0527 Vip Gaba_5","036 Vip Gaba",0.994934502255606,1,"leaf",TRUE
"0529 Vip Gaba_5","036 Vip Gaba",0.979287064269327,0.953488372093023,"leaf",TRUE
"0533 Vip Gaba_6",NA,NA,NA,"discordant",FALSE
"0547 Sncg Gaba_6","037 Sncg Gaba",0.995777942075555,1,"leaf",TRUE
"0553 Sncg Gaba_3","037 Sncg Gaba",0.989825809012024,1,"leaf",TRUE
"0560 Sncg Gaba_4","037 Sncg Gaba",0.996441218504256,1,"leaf",TRUE
"0580 Lamp5 Gaba_1","039 Lamp5 Gaba",0.99684626844651,1,"leaf",TRUE
"0581 Lamp5 Gaba_1","039 Lamp5 Gaba",0.977559586708935,1,"leaf",TRUE
"0582 Lamp5 Gaba_1","039 Lamp5 Gaba",0.984950802167783,1,"leaf",TRUE
"0587 Lamp5 Gaba_2","037 Sncg Gaba",0.953708588789637,0.421052631578947,"discordant",FALSE
"0605 Pvalb chandelier Gaba","041 Pvalb chandelier Gaba",1,1,"leaf",TRUE
"0607 Pvalb Gaba_1","042 Pvalb Gaba",0.971422371569928,1,"leaf",TRUE
"0618 Pvalb Gaba_3","042 Pvalb Gaba",0.980931802280117,1,"leaf",TRUE
"0619 Pvalb Gaba_3","042 Pvalb Gaba",0.991171369737001,1,"leaf",TRUE
"0620 Pvalb Gaba_8","042 Pvalb Gaba",0.992126551084504,1,"leaf",TRUE
"0621 Pvalb Gaba_3","042 Pvalb Gaba",0.975377794970199,1,"leaf",TRUE
"0624 Pvalb Gaba_4","042 Pvalb Gaba",0.96031986261598,1,"leaf",TRUE
"0625 Pvalb Gaba_5","042 Pvalb Gaba",0.966952158491219,0.9375,"leaf",TRUE
"0628 Pvalb Gaba_4","042 Pvalb Gaba",0.978672450495429,1,"leaf",TRUE
"0631 Sst Gaba_13","043 Sst Gaba",0.973278448785367,1,"leaf",TRUE
"0638 Sst Gaba_1","043 Sst Gaba",0.910076927824755,0.967741935483871,"leaf",TRUE
"0641 Sst Gaba_12","043 Sst Gaba",0.91260759180135,0.982142857142857,"leaf",TRUE
"0664 Sst Gaba_4","043 Sst Gaba",0.991512833860569,1,"leaf",TRUE
"0665 Sst Gaba_11","043 Sst Gaba",0.975062787085688,1,"leaf",TRUE
"0666 Sst Gaba_4","043 Sst Gaba",0.966021859767303,0.993103448275862,"leaf",TRUE
"0668 Sst Gaba_4","043 Sst Gaba",0.974399062820847,1,"leaf",TRUE
"0669 Sst Gaba_4","043 Sst Gaba",0.98065687014612,0.983050847457627,"leaf",TRUE
"0673 Sst Gaba_16","043 Sst Gaba",0.944721930247445,1,"leaf",TRUE
"0675 Sst Gaba_5",NA,NA,NA,"discordant",FALSE
"0677 Sst Gaba_5","043 Sst Gaba",0.930786040251931,1,"leaf",TRUE
"0688 Sst Gaba_7","043 Sst Gaba",0.936722985752112,0.981818181818182,"leaf",TRUE
"0695 Sst Gaba_10","043 Sst Gaba",0.946945525565435,1,"leaf",TRUE
"0697 Sst Gaba_8","043 Sst Gaba",0.921849273344356,0.96,"leaf",TRUE
"0731 Sst Chodl Gaba_4","046 Sst Chodl Gaba",1,1,"leaf",TRUE
"5113 Astro-TE NN_3","287 Astro-TE NN",1,1,"leaf",TRUE
"5146 OPC NN_1","294 OPC NN",1,1,"leaf",TRUE
"5150 COP NN",NA,NA,NA,"discordant",FALSE
"5158 MOL NN","295 Oligo NN",0.999868085480609,1,"leaf",TRUE
"5182 Peri NN","299 Peri NN",0.999943463367588,1,"leaf",TRUE
"5188 Endo NN","301 Endo NN",0.999904522176894,0.957142857142857,"leaf",TRUE
"5190 Microglia NN","302 Microglia NN",0.999902086363038,1,"leaf",TRUE
