query,parent,depth,sibling,auc_correct,auc_sibling,global_gap,local_pref
006 L4/5 IT CTX Glut,root,1,28 Astro-Epen,0.9479,0.298,0.6499,0.9995
006 L4/5 IT CTX Glut,root,1,29 Oligo,0.9479,0.2498,0.6981,1.0
006 L4/5 IT CTX Glut,root,1,31 Vascular,0.9479,0.4408,0.5071,1.0
006 L4/5 IT CTX Glut,root,1,32 Immune,0.9479,0.3887,0.5592,1.0
006 L4/5 IT CTX Glut,01 IT-ET Glut,2,001 Car3 Glut,0.9908,0.7174,0.2733,1.0
006 L4/5 IT CTX Glut,01 IT-ET Glut,2,003 L5/6 IT TPE-ENT Glut,0.9908,0.641,0.3498,1.0
006 L4/5 IT CTX Glut,01 IT-ET Glut,2,004 L6 IT CTX Glut,0.9908,0.5336,0.4572,1.0
006 L4/5 IT CTX Glut,01 IT-ET Glut,2,005 L5 IT CTX Glut,0.9908,0.8428,0.148,0.7543
006 L4/5 IT CTX Glut,01 IT-ET Glut,2,007 L2/3 IT CTX Glut,0.9908,0.7468,0.244,0.645
006 L4/5 IT CTX Glut,01 IT-ET Glut,2,022 L5 ET CTX Glut,0.9908,0.5243,0.4665,1.0
007 L2/3 IT CTX Glut,root,1,02 NP-CT-L6b Glut,0.8764,0.4072,0.4692,1.0
007 L2/3 IT CTX Glut,root,1,04 CGE GABA,0.8764,0.4237,0.4527,1.0
007 L2/3 IT CTX Glut,root,1,05 MGE GABA,0.8764,0.3578,0.5185,1.0
007 L2/3 IT CTX Glut,root,1,06 CNU GABA,0.8764,0.2294,0.647,1.0
007 L2/3 IT CTX Glut,root,1,28 Astro-Epen,0.8764,0.2519,0.6245,1.0
007 L2/3 IT CTX Glut,root,1,29 Oligo,0.8764,0.2723,0.6041,1.0
007 L2/3 IT CTX Glut,root,1,31 Vascular,0.8764,0.2925,0.5839,1.0
007 L2/3 IT CTX Glut,root,1,32 Immune,0.8764,0.2731,0.6033,1.0
007 L2/3 IT CTX Glut,01 IT-ET Glut,2,001 Car3 Glut,0.9966,0.6355,0.3611,1.0
007 L2/3 IT CTX Glut,01 IT-ET Glut,2,003 L5/6 IT TPE-ENT Glut,0.9966,0.6833,0.3134,1.0
007 L2/3 IT CTX Glut,01 IT-ET Glut,2,004 L6 IT CTX Glut,0.9966,0.7793,0.2173,1.0
007 L2/3 IT CTX Glut,01 IT-ET Glut,2,005 L5 IT CTX Glut,0.9966,0.5748,0.4218,1.0
007 L2/3 IT CTX Glut,01 IT-ET Glut,2,006 L4/5 IT CTX Glut,0.9966,0.7562,0.2405,1.0
007 L2/3 IT CTX Glut,01 IT-ET Glut,2,022 L5 ET CTX Glut,0.9966,0.6738,0.3228,1.0
022 L5 ET CTX Glut,root,1,02 NP-CT-L6b Glut,0.5799,0.7948,-0.2149,0.9127
022 L5 ET CTX Glut,root,1,04 CGE GABA,0.5799,0.4177,0.1622,1.0
022 L5 ET CTX Glut,root,1,05 MGE GABA,0.5799,0.3492,0.2307,1.0
022 L5 ET CTX Glut,root,1,06 CNU GABA,0.5799,0.3987,0.1812,1.0
022 L5 ET CTX Glut,root,1,28 Astro-Epen,0.5799,0.3021,0.2778,0.9994
022 L5 ET CTX Glut,root,1,29 Oligo,0.5799,0.3656,0.2143,1.0
022 L5 ET CTX Glut,root,1,31 Vascular,0.5799,0.1725,0.4074,1.0
022 L5 ET CTX Glut,root,1,32 Immune,0.5799,0.2064,0.3735,1.0
022 L5 ET CTX Glut,01 IT-ET Glut,2,001 Car3 Glut,1.0,0.1963,0.8037,1.0
022 L5 ET CTX Glut,01 IT-ET Glut,2,003 L5/6 IT TPE-ENT Glut,1.0,0.8048,0.1951,1.0
022 L5 ET CTX Glut,01 IT-ET Glut,2,004 L6 IT CTX Glut,1.0,0.6064,0.3935,0.3014
022 L5 ET CTX Glut,01 IT-ET Glut,2,005 L5 IT CTX Glut,1.0,0.4478,0.5522,0.0006
022 L5 ET CTX Glut,01 IT-ET Glut,2,006 L4/5 IT CTX Glut,1.0,0.5891,0.4109,0.0
022 L5 ET CTX Glut,01 IT-ET Glut,2,007 L2/3 IT CTX Glut,1.0,0.8411,0.1589,0.0
027 L6b CTX Glut,root,1,01 IT-ET Glut,0.9533,0.4171,0.5362,1.0
027 L6b CTX Glut,root,1,04 CGE GABA,0.9533,0.3197,0.6336,1.0
