level,tier,a,b,n_a,n_b,signed,unsigned
cluster,same_class,0083 L4/5 IT CTX Glut_3,0105 L2/3 IT CTX Glut_1,79,86,1.0,1.0
cluster,same_class,0090 L4/5 IT CTX Glut_4,0377 L5 ET CTX Glut_5,37,61,1.0,1.0
cluster,same_class,0091 L4/5 IT CTX Glut_4,0106 L2/3 IT CTX Glut_1,173,174,1.0,1.0
cluster,same_class,0091 L4/5 IT CTX Glut_4,0352 L5 ET CTX Glut_1,173,56,1.0,1.0
cluster,same_class,0091 L4/5 IT CTX Glut_4,0361 L5 ET CTX Glut_2,173,15,1.0,1.0
cluster,same_class,0094 L4/5 IT CTX Glut_4,0105 L2/3 IT CTX Glut_1,61,86,0.9985,0.9985
cluster,same_class,0094 L4/5 IT CTX Glut_4,0106 L2/3 IT CTX Glut_1,61,174,0.9967,0.9967
cluster,same_class,0094 L4/5 IT CTX Glut_4,0351 L5 ET CTX Glut_1,61,73,1.0,1.0
cluster,same_class,0094 L4/5 IT CTX Glut_4,0352 L5 ET CTX Glut_1,61,56,1.0,1.0
cluster,same_class,0096 L4/5 IT CTX Glut_5,0377 L5 ET CTX Glut_5,160,61,1.0,1.0
cluster,same_class,0098 L4/5 IT CTX Glut_5,0104 L2/3 IT CTX Glut_1,106,11,1.0,1.0
cluster,same_class,0098 L4/5 IT CTX Glut_5,0109 L2/3 IT CTX Glut_2,106,138,0.9825,0.9825
cluster,same_class,0099 L4/5 IT CTX Glut_5,0104 L2/3 IT CTX Glut_1,94,11,1.0,1.0
cluster,same_class,0099 L4/5 IT CTX Glut_5,0351 L5 ET CTX Glut_1,94,73,1.0,1.0
cluster,same_class,0099 L4/5 IT CTX Glut_5,0377 L5 ET CTX Glut_5,94,61,1.0,1.0
cluster,same_class,0099 L4/5 IT CTX Glut_5,0379 L5 ET CTX Glut_5,94,25,1.0,1.0
cluster,same_class,0105 L2/3 IT CTX Glut_1,0362 L5 ET CTX Glut_2,86,39,1.0,1.0
cluster,same_class,0106 L2/3 IT CTX Glut_1,0379 L5 ET CTX Glut_5,174,25,1.0,1.0
cluster,same_class,0109 L2/3 IT CTX Glut_2,0352 L5 ET CTX Glut_1,138,56,1.0,1.0
cluster,same_class,0109 L2/3 IT CTX Glut_2,0361 L5 ET CTX Glut_2,138,15,1.0,1.0
cluster,same_class,0109 L2/3 IT CTX Glut_2,0379 L5 ET CTX Glut_5,138,25,1.0,1.0
cluster,same_class,0421 L6b CTX Glut_1,0439 L6 CT CTX Glut_2,8,49,1.0,1.0
cluster,same_class,0421 L6b CTX Glut_1,0445 L6 CT CTX Glut_3,8,27,1.0,1.0
cluster,same_class,0421 L6b CTX Glut_1,0449 L6 CT CTX Glut_5,8,7,0.9643,0.9643
cluster,same_class,0421 L6b CTX Glut_1,0461 L5 NP CTX Glut_2,8,100,1.0,1.0
cluster,same_class,0421 L6b CTX Glut_1,0463 L5 NP CTX Glut_2,8,19,1.0,1.0
cluster,same_class,0430 L6b CTX Glut_3,0440 L6 CT CTX Glut_2,10,49,1.0,1.0
cluster,same_class,0430 L6b CTX Glut_3,0441 L6 CT CTX Glut_2,10,35,1.0,1.0
cluster,same_class,0430 L6b CTX Glut_3,0449 L6 CT CTX Glut_5,10,7,1.0,1.0
cluster,same_class,0430 L6b CTX Glut_3,0470 L5 NP CTX Glut_4,10,17,1.0,1.0
cluster,same_class,0433 L6 CT CTX Glut_1,0470 L5 NP CTX Glut_4,122,17,0.9981,0.9981
cluster,same_class,0439 L6 CT CTX Glut_2,0463 L5 NP CTX Glut_2,49,19,1.0,1.0
cluster,same_class,0439 L6 CT CTX Glut_2,0465 L5 NP CTX Glut_3,49,139,1.0,1.0
cluster,same_class,0440 L6 CT CTX Glut_2,0461 L5 NP CTX Glut_2,49,100,1.0,1.0
cluster,same_class,0445 L6 CT CTX Glut_3,0463 L5 NP CTX Glut_2,27,19,1.0,1.0
cluster,same_class,0445 L6 CT CTX Glut_3,0470 L5 NP CTX Glut_4,27,17,1.0,1.0
cluster,same_class,0449 L6 CT CTX Glut_5,0465 L5 NP CTX Glut_3,7,139,1.0,1.0
cluster,same_class,0452 L6 CT CTX Glut_5,0463 L5 NP CTX Glut_2,111,19,1.0,1.0
cluster,same_class,0452 L6 CT CTX Glut_5,0465 L5 NP CTX Glut_3,111,139,1.0,1.0
cluster,same_class,0513 Vip Gaba_3,0547 Sncg Gaba_6,24,16,1.0,1.0
cluster,same_class,0513 Vip Gaba_3,0581 Lamp5 Gaba_1,24,39,1.0,1.0
cluster,same_class,0513 Vip Gaba_3,0582 Lamp5 Gaba_1,24,58,1.0,1.0
cluster,same_class,0514 Vip Gaba_3,0553 Sncg Gaba_3,20,13,1.0,1.0
cluster,same_class,0516 Vip Gaba_3,0587 Lamp5 Gaba_2,9,13,1.0,1.0
cluster,same_class,0522 Vip Gaba_4,0581 Lamp5 Gaba_1,19,39,1.0,1.0
cluster,same_class,0527 Vip Gaba_5,0553 Sncg Gaba_3,69,13,1.0,1.0
cluster,same_class,0527 Vip Gaba_5,0560 Sncg Gaba_4,69,12,1.0,1.0
cluster,same_class,0527 Vip Gaba_5,0581 Lamp5 Gaba_1,69,39,1.0,1.0
cluster,same_class,0529 Vip Gaba_5,0580 Lamp5 Gaba_1,27,64,1.0,1.0
cluster,same_class,0560 Sncg Gaba_4,0580 Lamp5 Gaba_1,12,64,1.0,1.0
cluster,same_class,0605 Pvalb chandelier Gaba,0664 Sst Gaba_4,12,12,1.0,1.0
cluster,same_class,0605 Pvalb chandelier Gaba,0669 Sst Gaba_4,12,48,1.0,1.0
cluster,same_class,0605 Pvalb chandelier Gaba,0695 Sst Gaba_10,12,42,1.0,1.0
cluster,same_class,0605 Pvalb chandelier Gaba,0697 Sst Gaba_8,12,49,1.0,1.0
cluster,same_class,0607 Pvalb Gaba_1,0631 Sst Gaba_13,25,30,1.0,1.0
cluster,same_class,0607 Pvalb Gaba_1,0638 Sst Gaba_1,25,15,1.0,1.0
cluster,same_class,0607 Pvalb Gaba_1,0668 Sst Gaba_4,25,17,1.0,1.0
cluster,same_class,0607 Pvalb Gaba_1,0673 Sst Gaba_16,25,17,1.0,1.0
cluster,same_class,0607 Pvalb Gaba_1,0675 Sst Gaba_5,25,14,1.0,1.0
cluster,same_class,0607 Pvalb Gaba_1,0677 Sst Gaba_5,25,14,1.0,1.0
cluster,same_class,0607 Pvalb Gaba_1,0695 Sst Gaba_10,25,42,1.0,1.0
cluster,same_class,0618 Pvalb Gaba_3,0664 Sst Gaba_4,46,12,1.0,1.0
cluster,same_class,0618 Pvalb Gaba_3,0666 Sst Gaba_4,46,19,1.0,1.0
cluster,same_class,0618 Pvalb Gaba_3,0668 Sst Gaba_4,46,17,1.0,1.0
cluster,same_class,0618 Pvalb Gaba_3,0675 Sst Gaba_5,46,14,1.0,1.0
cluster,same_class,0618 Pvalb Gaba_3,0695 Sst Gaba_10,46,42,1.0,1.0
cluster,same_class,0619 Pvalb Gaba_3,0665 Sst Gaba_11,123,7,1.0,1.0
cluster,same_class,0619 Pvalb Gaba_3,0669 Sst Gaba_4,123,48,1.0,1.0
cluster,same_class,0619 Pvalb Gaba_3,0697 Sst Gaba_8,123,49,1.0,1.0
cluster,same_class,0620 Pvalb Gaba_8,0673 Sst Gaba_16,47,17,1.0,1.0
cluster,same_class,0621 Pvalb Gaba_3,0664 Sst Gaba_4,55,12,1.0,1.0
cluster,same_class,0621 Pvalb Gaba_3,0669 Sst Gaba_4,55,48,1.0,1.0
cluster,same_class,0621 Pvalb Gaba_3,0677 Sst Gaba_5,55,14,1.0,1.0
cluster,same_class,0624 Pvalb Gaba_4,0631 Sst Gaba_13,10,30,1.0,1.0
cluster,same_class,0624 Pvalb Gaba_4,0666 Sst Gaba_4,10,19,1.0,1.0
cluster,same_class,0624 Pvalb Gaba_4,0673 Sst Gaba_16,10,17,1.0,1.0
cluster,same_class,0624 Pvalb Gaba_4,0677 Sst Gaba_5,10,14,1.0,1.0
cluster,same_class,0625 Pvalb Gaba_5,0695 Sst Gaba_10,19,42,1.0,1.0
cluster,same_class,0625 Pvalb Gaba_5,0697 Sst Gaba_8,19,49,1.0,1.0
cluster,same_class,0628 Pvalb Gaba_4,0638 Sst Gaba_1,57,15,1.0,1.0
cluster,same_class,0628 Pvalb Gaba_4,0677 Sst Gaba_5,57,14,1.0,1.0
cluster,same_class,5146 OPC NN_1,5152 COP NN,167,36,1.0,1.0
cluster,same_class,5146 OPC NN_1,5155 MFOL NN,167,34,1.0,1.0
cluster,cross_class,0004 Car3 Glut_1,0465 L5 NP CTX Glut_3,10,139,1.0,1.0
cluster,cross_class,0004 Car3 Glut_1,0607 Pvalb Gaba_1,10,25,1.0,1.0
cluster,cross_class,0004 Car3 Glut_1,0638 Sst Gaba_1,10,15,1.0,1.0
cluster,cross_class,0004 Car3 Glut_1,0665 Sst Gaba_11,10,7,1.0,1.0
cluster,cross_class,0004 Car3 Glut_1,0688 Sst Gaba_7,10,42,1.0,1.0
cluster,cross_class,0026 L5/6 IT TPE-ENT Glut_2,0461 L5 NP CTX Glut_2,17,100,1.0,1.0
cluster,cross_class,0026 L5/6 IT TPE-ENT Glut_2,0465 L5 NP CTX Glut_3,17,139,1.0,1.0
cluster,cross_class,0026 L5/6 IT TPE-ENT Glut_2,0514 Vip Gaba_3,17,20,1.0,1.0
cluster,cross_class,0029 L5/6 IT TPE-ENT Glut_3,0430 L6b CTX Glut_3,17,10,1.0,1.0
cluster,cross_class,0029 L5/6 IT TPE-ENT Glut_3,0441 L6 CT CTX Glut_2,17,35,1.0,1.0
cluster,cross_class,0029 L5/6 IT TPE-ENT Glut_3,0461 L5 NP CTX Glut_2,17,100,1.0,1.0
cluster,cross_class,0029 L5/6 IT TPE-ENT Glut_3,0497 Vip Gaba_1,17,18,1.0,1.0
cluster,cross_class,0029 L5/6 IT TPE-ENT Glut_3,0522 Vip Gaba_4,17,19,1.0,1.0
cluster,cross_class,0029 L5/6 IT TPE-ENT Glut_3,0560 Sncg Gaba_4,17,12,1.0,1.0
cluster,cross_class,0029 L5/6 IT TPE-ENT Glut_3,0607 Pvalb Gaba_1,17,25,1.0,1.0
cluster,cross_class,0029 L5/6 IT TPE-ENT Glut_3,0624 Pvalb Gaba_4,17,10,1.0,1.0
cluster,cross_class,0034 L6 IT CTX Glut_1,0514 Vip Gaba_3,97,20,1.0,1.0
cluster,cross_class,0035 L6 IT CTX Glut_1,5152 COP NN,34,36,1.0,1.0
cluster,cross_class,0035 L6 IT CTX Glut_1,5188 Endo NN,34,154,1.0,1.0
cluster,cross_class,0036 L6 IT CTX Glut_1,0497 Vip Gaba_1,20,18,1.0,1.0
cluster,cross_class,0036 L6 IT CTX Glut_1,0553 Sncg Gaba_3,20,13,1.0,1.0
cluster,cross_class,0036 L6 IT CTX Glut_1,0631 Sst Gaba_13,20,30,1.0,1.0
cluster,cross_class,0036 L6 IT CTX Glut_1,0641 Sst Gaba_12,20,17,1.0,1.0
cluster,cross_class,0037 L6 IT CTX Glut_1,0439 L6 CT CTX Glut_2,51,49,1.0,1.0
cluster,cross_class,0037 L6 IT CTX Glut_1,0581 Lamp5 Gaba_1,51,39,1.0,1.0
cluster,cross_class,0037 L6 IT CTX Glut_1,0607 Pvalb Gaba_1,51,25,1.0,1.0
cluster,cross_class,0037 L6 IT CTX Glut_1,0620 Pvalb Gaba_8,51,47,1.0,1.0
cluster,cross_class,0038 L6 IT CTX Glut_2,0465 L5 NP CTX Glut_3,76,139,1.0,1.0
cluster,cross_class,0038 L6 IT CTX Glut_2,0527 Vip Gaba_5,76,69,1.0,1.0
cluster,cross_class,0038 L6 IT CTX Glut_2,0581 Lamp5 Gaba_1,76,39,1.0,1.0
cluster,cross_class,0041 L6 IT CTX Glut_2,0441 L6 CT CTX Glut_2,121,35,1.0,1.0
cluster,cross_class,0041 L6 IT CTX Glut_2,0560 Sncg Gaba_4,121,12,1.0,1.0
cluster,cross_class,0041 L6 IT CTX Glut_2,0669 Sst Gaba_4,121,48,1.0,1.0
cluster,cross_class,0041 L6 IT CTX Glut_2,5188 Endo NN,121,154,1.0,1.0
cluster,cross_class,0042 L6 IT CTX Glut_2,0439 L6 CT CTX Glut_2,24,49,1.0,1.0
cluster,cross_class,0042 L6 IT CTX Glut_2,0516 Vip Gaba_3,24,9,1.0,1.0
cluster,cross_class,0042 L6 IT CTX Glut_2,0560 Sncg Gaba_4,24,12,1.0,1.0
cluster,cross_class,0042 L6 IT CTX Glut_2,0621 Pvalb Gaba_3,24,55,1.0,1.0
cluster,cross_class,0044 L6 IT CTX Glut_3,0514 Vip Gaba_3,101,20,1.0,1.0
cluster,cross_class,0044 L6 IT CTX Glut_3,0527 Vip Gaba_5,101,69,1.0,1.0
cluster,cross_class,0044 L6 IT CTX Glut_3,0618 Pvalb Gaba_3,101,46,1.0,1.0
cluster,cross_class,0044 L6 IT CTX Glut_3,5158 MOL NN,101,134,1.0,1.0
cluster,cross_class,0049 L6 IT CTX Glut_4,0430 L6b CTX Glut_3,31,10,1.0,1.0
cluster,cross_class,0049 L6 IT CTX Glut_4,0514 Vip Gaba_3,31,20,1.0,1.0
cluster,cross_class,0049 L6 IT CTX Glut_4,0669 Sst Gaba_4,31,48,1.0,1.0
cluster,cross_class,0053 L6 IT CTX Glut_5,0445 L6 CT CTX Glut_3,30,27,1.0,1.0
cluster,cross_class,0053 L6 IT CTX Glut_5,0605 Pvalb chandelier Gaba,30,12,1.0,1.0
cluster,cross_class,0053 L6 IT CTX Glut_5,0619 Pvalb Gaba_3,30,123,1.0,1.0
cluster,cross_class,0054 L6 IT CTX Glut_5,0441 L6 CT CTX Glut_2,48,35,1.0,1.0
cluster,cross_class,0055 L5 IT CTX Glut_1,0439 L6 CT CTX Glut_2,108,49,1.0,1.0
cluster,cross_class,0055 L5 IT CTX Glut_1,0440 L6 CT CTX Glut_2,108,49,1.0,1.0
cluster,cross_class,0055 L5 IT CTX Glut_1,0607 Pvalb Gaba_1,108,25,1.0,1.0
cluster,cross_class,0055 L5 IT CTX Glut_1,0666 Sst Gaba_4,108,19,1.0,1.0
cluster,cross_class,0056 L5 IT CTX Glut_1,0452 L6 CT CTX Glut_5,78,111,1.0,1.0
cluster,cross_class,0061 L5 IT CTX Glut_3,0470 L5 NP CTX Glut_4,30,17,1.0,1.0
cluster,cross_class,0061 L5 IT CTX Glut_3,0587 Lamp5 Gaba_2,30,13,1.0,1.0
cluster,cross_class,0065 L5 IT CTX Glut_5,0513 Vip Gaba_3,141,24,1.0,1.0
cluster,cross_class,0065 L5 IT CTX Glut_5,0522 Vip Gaba_4,141,19,1.0,1.0
cluster,cross_class,0065 L5 IT CTX Glut_5,0533 Vip Gaba_6,141,29,1.0,1.0
cluster,cross_class,0065 L5 IT CTX Glut_5,0607 Pvalb Gaba_1,141,25,1.0,1.0
cluster,cross_class,0065 L5 IT CTX Glut_5,0620 Pvalb Gaba_8,141,47,1.0,1.0
cluster,cross_class,0069 L4/5 IT CTX Glut_1,0553 Sncg Gaba_3,76,13,1.0,1.0
cluster,cross_class,0069 L4/5 IT CTX Glut_1,5190 Microglia NN,76,179,1.0,1.0
cluster,cross_class,0072 L4/5 IT CTX Glut_1,0445 L6 CT CTX Glut_3,158,27,1.0,1.0
cluster,cross_class,0075 L4/5 IT CTX Glut_2,0619 Pvalb Gaba_3,70,123,1.0,1.0
cluster,cross_class,0075 L4/5 IT CTX Glut_2,0664 Sst Gaba_4,70,12,1.0,1.0
cluster,cross_class,0075 L4/5 IT CTX Glut_2,5158 MOL NN,70,134,1.0,1.0
cluster,cross_class,0076 L4/5 IT CTX Glut_2,0516 Vip Gaba_3,35,9,1.0,1.0
cluster,cross_class,0076 L4/5 IT CTX Glut_2,0582 Lamp5 Gaba_1,35,58,1.0,1.0
cluster,cross_class,0078 L4/5 IT CTX Glut_2,0421 L6b CTX Glut_1,141,8,1.0,1.0
cluster,cross_class,0078 L4/5 IT CTX Glut_2,0433 L6 CT CTX Glut_1,141,122,1.0,1.0
cluster,cross_class,0078 L4/5 IT CTX Glut_2,0533 Vip Gaba_6,141,29,1.0,1.0
cluster,cross_class,0078 L4/5 IT CTX Glut_2,0587 Lamp5 Gaba_2,141,13,1.0,1.0
cluster,cross_class,0078 L4/5 IT CTX Glut_2,0697 Sst Gaba_8,141,49,1.0,1.0
cluster,cross_class,0083 L4/5 IT CTX Glut_3,0445 L6 CT CTX Glut_3,79,27,1.0,1.0
cluster,cross_class,0083 L4/5 IT CTX Glut_3,0514 Vip Gaba_3,79,20,1.0,1.0
cluster,cross_class,0083 L4/5 IT CTX Glut_3,0677 Sst Gaba_5,79,14,1.0,1.0
cluster,cross_class,0083 L4/5 IT CTX Glut_3,0688 Sst Gaba_7,79,42,1.0,1.0
cluster,cross_class,0084 L4/5 IT CTX Glut_3,0433 L6 CT CTX Glut_1,122,122,1.0,1.0
cluster,cross_class,0084 L4/5 IT CTX Glut_3,0582 Lamp5 Gaba_1,122,58,1.0,1.0
cluster,cross_class,0084 L4/5 IT CTX Glut_3,0628 Pvalb Gaba_4,122,57,1.0,1.0
cluster,cross_class,0084 L4/5 IT CTX Glut_3,0638 Sst Gaba_1,122,15,1.0,1.0
cluster,cross_class,0084 L4/5 IT CTX Glut_3,5182 Peri NN,122,167,1.0,1.0
cluster,cross_class,0090 L4/5 IT CTX Glut_4,0430 L6b CTX Glut_3,37,10,1.0,1.0
cluster,cross_class,0090 L4/5 IT CTX Glut_4,0581 Lamp5 Gaba_1,37,39,1.0,1.0
cluster,cross_class,0090 L4/5 IT CTX Glut_4,0618 Pvalb Gaba_3,37,46,1.0,1.0
cluster,cross_class,0090 L4/5 IT CTX Glut_4,0619 Pvalb Gaba_3,37,123,1.0,1.0
cluster,cross_class,0090 L4/5 IT CTX Glut_4,0673 Sst Gaba_16,37,17,1.0,1.0
cluster,cross_class,0091 L4/5 IT CTX Glut_4,0436 L6 CT CTX Glut_1,173,119,1.0,1.0
cluster,cross_class,0091 L4/5 IT CTX Glut_4,0516 Vip Gaba_3,173,9,1.0,1.0
cluster,cross_class,0091 L4/5 IT CTX Glut_4,0605 Pvalb chandelier Gaba,173,12,1.0,1.0
cluster,cross_class,0091 L4/5 IT CTX Glut_4,0665 Sst Gaba_11,173,7,1.0,1.0
cluster,cross_class,0091 L4/5 IT CTX Glut_4,5158 MOL NN,173,134,1.0,1.0
cluster,cross_class,0094 L4/5 IT CTX Glut_4,0497 Vip Gaba_1,61,18,1.0,1.0
cluster,cross_class,0094 L4/5 IT CTX Glut_4,0621 Pvalb Gaba_3,61,55,1.0,1.0
cluster,cross_class,0096 L4/5 IT CTX Glut_5,0433 L6 CT CTX Glut_1,160,122,1.0,1.0
cluster,cross_class,0096 L4/5 IT CTX Glut_5,0522 Vip Gaba_4,160,19,1.0,1.0
cluster,cross_class,0096 L4/5 IT CTX Glut_5,5188 Endo NN,160,154,1.0,1.0
cluster,cross_class,0098 L4/5 IT CTX Glut_5,0553 Sncg Gaba_3,106,13,1.0,1.0
cluster,cross_class,0098 L4/5 IT CTX Glut_5,0581 Lamp5 Gaba_1,106,39,1.0,1.0
cluster,cross_class,0098 L4/5 IT CTX Glut_5,0620 Pvalb Gaba_8,106,47,1.0,1.0
cluster,cross_class,0098 L4/5 IT CTX Glut_5,0628 Pvalb Gaba_4,106,57,1.0,1.0
cluster,cross_class,0098 L4/5 IT CTX Glut_5,5155 MFOL NN,106,34,1.0,1.0
cluster,cross_class,0099 L4/5 IT CTX Glut_5,0547 Sncg Gaba_6,94,16,1.0,1.0
cluster,cross_class,0099 L4/5 IT CTX Glut_5,0675 Sst Gaba_5,94,14,1.0,1.0
cluster,cross_class,0104 L2/3 IT CTX Glut_1,0461 L5 NP CTX Glut_2,11,100,1.0,1.0
cluster,cross_class,0104 L2/3 IT CTX Glut_1,0497 Vip Gaba_1,11,18,1.0,1.0
cluster,cross_class,0104 L2/3 IT CTX Glut_1,0631 Sst Gaba_13,11,30,1.0,1.0
cluster,cross_class,0105 L2/3 IT CTX Glut_1,0421 L6b CTX Glut_1,86,8,1.0,1.0
cluster,cross_class,0105 L2/3 IT CTX Glut_1,0433 L6 CT CTX Glut_1,86,122,1.0,1.0
cluster,cross_class,0105 L2/3 IT CTX Glut_1,0463 L5 NP CTX Glut_2,86,19,1.0,1.0
cluster,cross_class,0105 L2/3 IT CTX Glut_1,0641 Sst Gaba_12,86,17,1.0,1.0
cluster,cross_class,0105 L2/3 IT CTX Glut_1,5152 COP NN,86,36,1.0,1.0
cluster,cross_class,0105 L2/3 IT CTX Glut_1,5188 Endo NN,86,154,1.0,1.0
cluster,cross_class,0106 L2/3 IT CTX Glut_1,0440 L6 CT CTX Glut_2,174,49,1.0,1.0
cluster,cross_class,0106 L2/3 IT CTX Glut_1,0533 Vip Gaba_6,174,29,1.0,1.0
cluster,cross_class,0106 L2/3 IT CTX Glut_1,5152 COP NN,174,36,1.0,1.0
cluster,cross_class,0106 L2/3 IT CTX Glut_1,5158 MOL NN,174,134,1.0,1.0
cluster,cross_class,0109 L2/3 IT CTX Glut_2,0470 L5 NP CTX Glut_4,138,17,1.0,1.0
cluster,cross_class,0109 L2/3 IT CTX Glut_2,5182 Peri NN,138,167,1.0,1.0
cluster,cross_class,0351 L5 ET CTX Glut_1,0527 Vip Gaba_5,73,69,1.0,1.0
cluster,cross_class,0351 L5 ET CTX Glut_1,0731 Sst Chodl Gaba_4,73,9,1.0,1.0
cluster,cross_class,0351 L5 ET CTX Glut_1,5190 Microglia NN,73,179,1.0,1.0
cluster,cross_class,0352 L5 ET CTX Glut_1,0533 Vip Gaba_6,56,29,1.0,1.0
cluster,cross_class,0352 L5 ET CTX Glut_1,0618 Pvalb Gaba_3,56,46,1.0,1.0
cluster,cross_class,0352 L5 ET CTX Glut_1,0695 Sst Gaba_10,56,42,1.0,1.0
cluster,cross_class,0361 L5 ET CTX Glut_2,0441 L6 CT CTX Glut_2,15,35,1.0,1.0
cluster,cross_class,0361 L5 ET CTX Glut_2,0529 Vip Gaba_5,15,27,1.0,1.0
cluster,cross_class,0361 L5 ET CTX Glut_2,0697 Sst Gaba_8,15,49,1.0,1.0
cluster,cross_class,0362 L5 ET CTX Glut_2,0641 Sst Gaba_12,39,17,1.0,1.0
cluster,cross_class,0362 L5 ET CTX Glut_2,0669 Sst Gaba_4,39,48,1.0,1.0
cluster,cross_class,0377 L5 ET CTX Glut_5,0461 L5 NP CTX Glut_2,61,100,1.0,1.0
cluster,cross_class,0377 L5 ET CTX Glut_5,0533 Vip Gaba_6,61,29,1.0,1.0
cluster,cross_class,0377 L5 ET CTX Glut_5,0547 Sncg Gaba_6,61,16,1.0,1.0
cluster,cross_class,0379 L5 ET CTX Glut_5,0430 L6b CTX Glut_3,25,10,1.0,1.0
cluster,cross_class,0379 L5 ET CTX Glut_5,0439 L6 CT CTX Glut_2,25,49,1.0,1.0
cluster,cross_class,0379 L5 ET CTX Glut_5,0445 L6 CT CTX Glut_3,25,27,1.0,1.0
cluster,cross_class,0421 L6b CTX Glut_1,0621 Pvalb Gaba_3,8,55,1.0,1.0
cluster,cross_class,0430 L6b CTX Glut_3,0587 Lamp5 Gaba_2,10,13,1.0,1.0
cluster,cross_class,0433 L6 CT CTX Glut_1,0529 Vip Gaba_5,122,27,1.0,1.0
cluster,cross_class,0433 L6 CT CTX Glut_1,0533 Vip Gaba_6,122,29,1.0,1.0
cluster,cross_class,0436 L6 CT CTX Glut_1,0516 Vip Gaba_3,119,9,1.0,1.0
cluster,cross_class,0436 L6 CT CTX Glut_1,0560 Sncg Gaba_4,119,12,1.0,1.0
cluster,cross_class,0439 L6 CT CTX Glut_2,0624 Pvalb Gaba_4,49,10,1.0,1.0
cluster,cross_class,0439 L6 CT CTX Glut_2,0673 Sst Gaba_16,49,17,1.0,1.0
cluster,cross_class,0440 L6 CT CTX Glut_2,0582 Lamp5 Gaba_1,49,58,1.0,1.0
cluster,cross_class,0440 L6 CT CTX Glut_2,0625 Pvalb Gaba_5,49,19,1.0,1.0
cluster,cross_class,0440 L6 CT CTX Glut_2,0688 Sst Gaba_7,49,42,1.0,1.0
cluster,cross_class,0445 L6 CT CTX Glut_3,0631 Sst Gaba_13,27,30,1.0,1.0
cluster,cross_class,0445 L6 CT CTX Glut_3,5188 Endo NN,27,154,1.0,1.0
cluster,cross_class,0449 L6 CT CTX Glut_5,0581 Lamp5 Gaba_1,7,39,1.0,1.0
cluster,cross_class,0449 L6 CT CTX Glut_5,0673 Sst Gaba_16,7,17,1.0,1.0
cluster,cross_class,0461 L5 NP CTX Glut_2,0553 Sncg Gaba_3,100,13,1.0,1.0
cluster,cross_class,0461 L5 NP CTX Glut_2,0641 Sst Gaba_12,100,17,1.0,1.0
cluster,cross_class,0461 L5 NP CTX Glut_2,0695 Sst Gaba_10,100,42,1.0,1.0
cluster,cross_class,0461 L5 NP CTX Glut_2,5150 COP NN,100,75,1.0,1.0
cluster,cross_class,0463 L5 NP CTX Glut_2,0582 Lamp5 Gaba_1,19,58,1.0,1.0
cluster,cross_class,0463 L5 NP CTX Glut_2,0607 Pvalb Gaba_1,19,25,1.0,1.0
cluster,cross_class,0463 L5 NP CTX Glut_2,0621 Pvalb Gaba_3,19,55,1.0,1.0
cluster,cross_class,0470 L5 NP CTX Glut_4,0527 Vip Gaba_5,17,69,1.0,1.0
cluster,cross_class,0470 L5 NP CTX Glut_4,0533 Vip Gaba_6,17,29,1.0,1.0
cluster,cross_class,0470 L5 NP CTX Glut_4,5152 COP NN,17,36,1.0,1.0
cluster,cross_class,0470 L5 NP CTX Glut_4,5155 MFOL NN,17,34,1.0,1.0
cluster,cross_class,0497 Vip Gaba_1,0665 Sst Gaba_11,18,7,1.0,1.0
cluster,cross_class,0514 Vip Gaba_3,0688 Sst Gaba_7,20,42,1.0,1.0
cluster,cross_class,0514 Vip Gaba_3,5158 MOL NN,20,134,1.0,1.0
cluster,cross_class,0516 Vip Gaba_3,0607 Pvalb Gaba_1,9,25,1.0,1.0
cluster,cross_class,0516 Vip Gaba_3,0675 Sst Gaba_5,9,14,1.0,1.0
cluster,cross_class,0529 Vip Gaba_5,0688 Sst Gaba_7,27,42,1.0,1.0
cluster,cross_class,0529 Vip Gaba_5,5158 MOL NN,27,134,1.0,1.0
cluster,cross_class,0533 Vip Gaba_6,0605 Pvalb chandelier Gaba,29,12,1.0,1.0
cluster,cross_class,0533 Vip Gaba_6,0638 Sst Gaba_1,29,15,1.0,1.0
cluster,cross_class,0547 Sncg Gaba_6,0688 Sst Gaba_7,16,42,1.0,1.0
cluster,cross_class,0547 Sncg Gaba_6,5182 Peri NN,16,167,1.0,1.0
cluster,cross_class,0560 Sncg Gaba_4,0624 Pvalb Gaba_4,12,10,1.0,1.0
cluster,cross_class,0560 Sncg Gaba_4,5155 MFOL NN,12,34,1.0,1.0
cluster,cross_class,0580 Lamp5 Gaba_1,0664 Sst Gaba_4,64,12,1.0,1.0
cluster,cross_class,0582 Lamp5 Gaba_1,0605 Pvalb chandelier Gaba,58,12,1.0,1.0
cluster,cross_class,0582 Lamp5 Gaba_1,0641 Sst Gaba_12,58,17,1.0,1.0
cluster,cross_class,0582 Lamp5 Gaba_1,0673 Sst Gaba_16,58,17,1.0,1.0
cluster,cross_class,0582 Lamp5 Gaba_1,0731 Sst Chodl Gaba_4,58,9,1.0,1.0
cluster,cross_class,0582 Lamp5 Gaba_1,5158 MOL NN,58,134,1.0,1.0
cluster,cross_class,0587 Lamp5 Gaba_2,0688 Sst Gaba_7,13,42,1.0,1.0
cluster,cross_class,0620 Pvalb Gaba_8,5113 Astro-TE NN_3,47,183,1.0,1.0
cluster,cross_class,0624 Pvalb Gaba_4,0731 Sst Chodl Gaba_4,10,9,1.0,1.0
